planeID,aircraftTypeCode,operator,code,modeS,serialNumber,age,DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA,ONTIME,STATUS
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,31 Dec 2024,Macau (MFM),Shanghai (PVG),NX102,1:49,5:05 PM,5:25 PM,7:40 PM,green,Landed 7:14 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,30 Dec 2024,Da Nang (DAD),Macau (MFM),NX977,1:18,11:35 PM,12:25 AM,2:15 AM,yellow,Landed 2:43 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,30 Dec 2024,Macau (MFM),Da Nang (DAD),NX978,1:30,9:20 PM,10:09 PM,10:05 PM,yellow,Landed 10:39 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,30 Dec 2024,Bangkok (DMK),Macau (MFM),NX935,2:16,5:00 PM,5:28 PM,8:35 PM,green,Landed 8:44 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,30 Dec 2024,Macau (MFM),Bangkok (DMK),NX936,2:33,2:00 PM,2:29 PM,3:55 PM,green,Landed 4:03 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,30 Dec 2024,Seoul (ICN),Macau (MFM),NX825,3:32,9:55 AM,10:31 AM,12:55 PM,green,Landed 1:03 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,29 Dec 2024,Macau (MFM),Seoul (ICN),NX826,3:12,6:00 PM,6:57 PM,10:45 PM,yellow,Landed 11:09 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,29 Dec 2024,Seoul (ICN),Macau (MFM),NX821,3:28,2:05 PM,2:56 PM,5:05 PM,yellow,Landed 5:24 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,29 Dec 2024,Macau (MFM),Seoul (ICN),NX822,3:05,8:25 AM,8:32 AM,1:05 PM,green,Landed 12:36 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,28 Dec 2024,Singapore (SIN),Macau (MFM),NX907,3:27,5:15 PM,5:47 PM,9:10 PM,green,Landed 9:14 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,28 Dec 2024,Macau (MFM),Singapore (SIN),NX908,3:33,12:05 PM,12:54 PM,4:15 PM,green,Landed 4:27 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,28 Dec 2024,Guiyang (KWE),Macau (MFM),NX175,1:16,9:30 AM,9:42 AM,11:20 AM,green,Landed 10:58 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,27 Dec 2024,Macau (MFM),Guiyang (KWE),NX176,1:35,7:00 PM,7:07 PM,9:00 PM,green,Landed 8:42 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,27 Dec 2024,Seoul (ICN),Macau (MFM),NX821,3:41,2:05 PM,2:36 PM,5:05 PM,green,Landed 5:17 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,27 Dec 2024,Macau (MFM),Seoul (ICN),NX822,3:01,8:25 AM,8:35 AM,1:05 PM,green,Landed 12:37 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,26 Dec 2024,Singapore (SIN),Macau (MFM),NX907,3:26,5:15 PM,5:51 PM,9:10 PM,green,Landed 9:17 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,26 Dec 2024,Macau (MFM),Singapore (SIN),NX908,3:37,12:05 PM,12:26 PM,4:15 PM,green,Landed 4:03 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,26 Dec 2024,Kaohsiung (KHH),Macau (MFM),NX657,1:15,9:00 AM,9:04 AM,10:25 AM,green,Landed 10:19 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,25 Dec 2024,Macau (MFM),Kaohsiung (KHH),NX658,1:02,9:45 PM,9:57 PM,11:15 PM,green,Landed 10:58 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,25 Dec 2024,Nanjing (NKG),Macau (MFM),NX127,2:04,4:40 PM,5:23 PM,7:55 PM,green,Landed 7:27 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,25 Dec 2024,Macau (MFM),Nanjing (NKG),NX128,1:51,1:30 PM,2:19 PM,3:50 PM,yellow,Landed 4:10 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,25 Dec 2024,Jakarta (CGK),Macau (MFM),NX909,4:34,7:00 AM,7:23 AM,12:50 PM,green,Landed 12:57 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,24 Dec 2024,Macau (MFM),Jakarta (CGK),NX910,4:25,8:55 PM,9:09 PM,12:45 AM,green,Landed 12:35 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,24 Dec 2024,Nanjing (NKG),Macau (MFM),NX127,2:04,4:40 PM,4:53 PM,7:55 PM,green,Landed 6:57 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,24 Dec 2024,Macau (MFM),Nanjing (NKG),NX128,2:02,1:30 PM,1:39 PM,3:50 PM,green,Landed 3:41 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,24 Dec 2024,Taipei (TPE),Macau (MFM),NX631,1:26,10:10 AM,10:39 AM,12:00 PM,green,Landed 12:05 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,24 Dec 2024,Macau (MFM),Taipei (TPE),NX632,1:16,7:25 AM,7:34 AM,9:20 AM,green,Landed 8:50 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,23 Dec 2024,Da Nang (DAD),Macau (MFM),NX977,1:19,11:35 PM,12:21 AM,2:15 AM,yellow,Landed 2:40 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,23 Dec 2024,Macau (MFM),Da Nang (DAD),NX978,1:33,9:20 PM,10:06 PM,10:05 PM,yellow,Landed 10:38 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,23 Dec 2024,Nanjing (NKG),Macau (MFM),NX127,2:13,4:40 PM,5:13 PM,7:55 PM,green,Landed 7:26 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,23 Dec 2024,Macau (MFM),Nanjing (NKG),NX128,1:59,1:30 PM,2:07 PM,3:50 PM,yellow,Landed 4:06 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,23 Dec 2024,Jakarta (CGK),Macau (MFM),NX909,4:31,7:00 AM,7:10 AM,12:50 PM,green,Landed 12:41 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,22 Dec 2024,Macau (MFM),Jakarta (CGK),NX910,4:46,8:55 PM,9:32 PM,12:45 AM,yellow,Landed 1:18 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,22 Dec 2024,Nanjing (NKG),Macau (MFM),NX127,2:18,4:40 PM,5:04 PM,7:55 PM,green,Landed 7:22 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,22 Dec 2024,Macau (MFM),Nanjing (NKG),NX128,1:52,1:30 PM,1:53 PM,3:50 PM,green,Landed 3:45 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,22 Dec 2024,Jakarta (CGK),Macau (MFM),NX909,4:22,7:00 AM,7:08 AM,12:50 PM,green,Landed 12:30 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,21 Dec 2024,Macau (MFM),Jakarta (CGK),NX910,4:26,8:55 PM,9:49 PM,12:45 AM,yellow,Landed 1:15 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,21 Dec 2024,Nanjing (NKG),Macau (MFM),NX127,2:11,4:40 PM,5:30 PM,7:55 PM,green,Landed 7:40 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,21 Dec 2024,Macau (MFM),Nanjing (NKG),NX128,2:04,1:30 PM,2:16 PM,3:50 PM,yellow,Landed 4:20 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,21 Dec 2024,Jakarta (CGK),Macau (MFM),NX909,4:29,7:00 AM,7:20 AM,12:50 PM,green,Landed 12:48 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,20 Dec 2024,Macau (MFM),Jakarta (CGK),NX910,4:21,8:55 PM,9:42 PM,12:45 AM,yellow,Landed 1:04 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,20 Dec 2024,Nanjing (NKG),Macau (MFM),NX127,2:09,4:40 PM,5:44 PM,7:55 PM,green,Landed 7:53 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,20 Dec 2024,Macau (MFM),Nanjing (NKG),NX128,2:00,1:30 PM,1:59 PM,3:50 PM,green,Landed 3:59 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,20 Dec 2024,Jakarta (CGK),Macau (MFM),NX909,4:26,7:00 AM,7:06 AM,12:50 PM,green,Landed 12:32 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,19 Dec 2024,Macau (MFM),Jakarta (CGK),NX910,4:25,8:55 PM,9:11 PM,12:45 AM,green,Landed 12:36 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,19 Dec 2024,Nanjing (NKG),Macau (MFM),NX127,2:18,4:40 PM,5:23 PM,7:55 PM,green,Landed 7:41 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,19 Dec 2024,Macau (MFM),Nanjing (NKG),NX128,2:06,1:30 PM,2:08 PM,3:50 PM,yellow,Landed 4:13 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,19 Dec 2024,Taipei (TPE),Macau (MFM),NX631,1:39,10:10 AM,10:26 AM,12:00 PM,green,Landed 12:05 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,19 Dec 2024,Macau (MFM),Taipei (TPE),NX632,1:22,7:25 AM,7:36 AM,9:20 AM,green,Landed 8:58 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,18 Dec 2024,Qingdao (TAO),Macau (MFM),NX21,3:02,7:40 PM,11:07 PM,1:15 AM,red,Landed 2:09 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,18 Dec 2024,Macau (MFM),Qingdao (TAO),NX22,2:51,3:25 PM,7:05 PM,8:50 PM,red,Landed 9:56 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,18 Dec 2024,Seoul (ICN),Macau (MFM),NX825,3:35,9:55 AM,10:13 AM,12:55 PM,green,Landed 12:47 PM
