Airline Code,Aircraft Registration,Aircraft Link,Aircraft,Airline,Operator,Type Code,Mode S,Serial Number,Age,DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA,STATUS,Color Code
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,30 Dec 2024,Phnom Penh(PNH),Changsha(CSX),KR941,2:44,6:00 PM,6:04 PM,10:15 PM,Landed 9:49 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,30 Dec 2024,Jieyang(SWA),Phnom Penh(PNH),KR932,3:01,1:10 PM,1:24 PM,3:10 PM,Landed 3:26 PM,yellow
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,30 Dec 2024,Phnom Penh(PNH),Jieyang(SWA),KR931,2:40,8:10 AM,8:42 AM,12:10 PM,Landed 12:22 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,29 Dec 2024,Kuala Lumpur(KUL),Phnom Penh(PNH),KR782,1:33,7:15 PM,7:44 PM,8:20 PM,Landed 8:17 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,29 Dec 2024,Phnom Penh(PNH),Kuala Lumpur(KUL),KR781,1:37,3:15 PM,3:15 PM,6:15 PM,Landed 5:52 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,29 Dec 2024,Chengdu(TFU),Phnom Penh(PNH),KR962,3:10,11:30 AM,11:40 AM,2:10 PM,Landed 1:51 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,29 Dec 2024,Phnom Penh(PNH),Chengdu(TFU),KR961,2:49,6:10 AM,6:28 AM,10:30 AM,Landed 10:17 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,28 Dec 2024,Jieyang(SWA),Phnom Penh(PNH),KR932,2:47,1:10 PM,1:44 PM,3:10 PM,Landed 3:31 PM,yellow
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,28 Dec 2024,Phnom Penh(PNH),Jieyang(SWA),KR931,2:29,8:10 AM,8:50 AM,12:10 PM,Landed 12:18 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,27 Dec 2024,Macau(MFM),Phnom Penh(PNH),KR502,2:19,10:40 PM,10:48 PM,12:20 AM,Landed 12:07 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,27 Dec 2024,Airai(ROR),Macau(MFM),KR5562,3:37,6:40 PM,6:50 PM,9:40 PM,Landed 9:28 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,27 Dec 2024,Macau(MFM),Airai(ROR),KR5561,3:41,12:30 PM,12:54 PM,5:40 PM,Landed 5:35 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,27 Dec 2024,Phnom Penh(PNH),Macau(MFM),KR503,2:04,8:05 AM,8:41 AM,11:35 AM,Landed 11:45 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,27 Dec 2024,Guangzhou(CAN),Phnom Penh(PNH),KR938,2:25,3:35 AM,4:06 AM,5:30 AM,Landed 5:32 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,26 Dec 2024,Phnom Penh(PNH),Guangzhou(CAN),KR937,2:33,11:00 PM,11:11 PM,2:25 AM,Landed 2:44 AM,yellow
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,26 Dec 2024,Bangkok(BKK),Phnom Penh(PNH),KR704,0:52,4:20 PM,4:47 PM,5:30 PM,Landed 5:39 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,26 Dec 2024,Phnom Penh(PNH),Bangkok(BKK),KR703,1:03,2:00 PM,1:59 PM,3:20 PM,Landed 3:02 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,26 Dec 2024,Bangkok(BKK),Phnom Penh(PNH),KR702,0:54,10:35 AM,10:45 AM,11:50 AM,Landed 11:39 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,26 Dec 2024,Phnom Penh(PNH),Bangkok(BKK),KR701,0:51,8:15 AM,8:22 AM,9:30 AM,Landed 9:13 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,26 Dec 2024,Shenzhen(SZX),Phnom Penh(PNH),KR930,2:20,4:30 AM,4:53 AM,6:25 AM,Landed 6:14 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,25 Dec 2024,Phnom Penh(PNH),Shenzhen(SZX),KR929,2:09,11:50 PM,12:02 AM,3:30 AM,Landed 3:11 AM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,25 Dec 2024,Chengdu(TFU),Phnom Penh(PNH),KR962,3:08,1:30 PM,1:40 PM,4:00 PM,Landed 3:49 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,25 Dec 2024,Phnom Penh(PNH),Chengdu(TFU),KR961,2:55,8:10 AM,8:17 AM,12:30 PM,Landed 12:11 PM,green
kr-kme,xu-787,https://www.flightradar24.com/data/aircraft/xu-787,Airbus A319-112,Cambodia Airways,Cambodia Airways,A319,70E065,03872,15 years,24 Dec 2024,Kuala Lumpur(KUL),Phnom Penh(PNH),KR782,1:29,6:15 PM,7:04 PM,7:20 PM,Landed 7:33 PM,green
